id,month,input_cost_shock,price_increase_speed,price_decrease_speed,inflation_expectations,market_power,wage_rigidity,pass_through_gap,asymflation_index
1,26,1.6728303243616731,0.7986047579085992,0.28679564938617647,1.8678844391731597,0.257357544403052,0.506730546136195,0.5575148070869747,0.5789287858872189
2,25,0.5789816037823026,0.789811450096252,0.3313895938677798,3.5753688059752626,0.8949048967847106,0.3631053124026947,0.512081280623156,0.7195730166754851
3,8,-0.8085438666901268,0.5852352560873347,0.5235606800449453,1.5555969044174405,0.8437241691932514,0.5235456379927581,0.07471478788473987,0.44330538142185305
4,58,-0.017021266050450942,0.7223817742202044,0.39944783844330106,2.1090949016465164,0.5680167319918124,0.8164887465498055,0.3619754380836907,0.5589720436817248
5,55,-1.033918520112387,0.584560412735347,0.5105239998494969,2.7300677911420164,0.9191211176333298,0.6996130047360637,0.11986268137926881,0.542384665810603
6,31,-0.8538801664795637,0.5495670019412697,0.5529907641465582,1.8193769284412795,0.449135012490329,0.885039354147621,0.0007536837639711032,0.41551852150180957
7,30,-0.4924289094436931,0.4452252876973095,0.43849779903681907,2.0883861168272744,0.25036482428806917,0.9139646960700456,0.04484659098854711,0.4185447556907704
8,26,-1.2006111626823393,0.4049242380901993,0.4463478000444461,2.7278506334098624,0.5186725205737742,0.9050484711644907,0.0,0.4604239234004155
9,29,0.5393147594130853,0.6166480044428182,0.3232075388653085,2.63663065138196,0.46934774087733994,0.9398613185608113,0.2906121702359292,0.5922125855864048
10,18,-1.2145397658130337,0.5048432833395002,0.5115274038564619,3.037493576508215,0.7898499698201579,0.20034847017187496,0.0,0.4726424329990711
11,58,-2.0249603485666867,0.43137979994847675,0.6693504736255029,2.031030541614432,0.6271431683131558,0.46027023762615893,0.0,0.34057009855568404
12,57,1.1609538113987774,0.8664910833409611,0.28920528783117855,3.911907627443975,0.8862164347753401,0.4115832272688413,0.5565210593510873,0.7887813666793206
13,31,-0.5924450850332534,0.4896538378976833,0.39699479804038573,2.6071934803823535,0.6476372901742607,0.4979864718486312,0.09768618951480053,0.49033241738928846
14,7,-1.8482234231945647,0.43426499211428776,0.5890572140229895,2.3719632176604386,0.6808447310795476,0.6663635794586429,0.0,0.40468021585217134
15,26,-1.343339013516623,0.4201676782092573,0.4142620896962001,2.942867204969152,0.8946004489924798,0.592598499701745,0.02439178585342365,0.5067640106598839
16,43,0.37007498143580164,0.5998982577777301,0.434744120035013,2.331490632879924,0.27098959127424915,0.6827144466978814,0.21936801085843943,0.4935141780393958
17,56,0.9447673329591992,0.795727287360113,0.17041348214878188,2.6197813785628785,0.7724785352975676,0.6798306371390959,0.6556430803065596,0.712914264071481
18,32,0.1645515923877426,0.7039437664392272,0.3718466235997053,3.087543171456216,0.7963111396875948,0.2334361967903948,0.35390367904344494,0.613949384276384
19,43,-1.4901431117257207,0.529497929311606,0.5145240251087326,1.544283037372378,0.7465336584815291,0.2417021674760937,0.052909842704727345,0.3716566922192741
20,33,0.8853575038891064,0.8388120131121083,0.3171480931398538,3.981701742071598,0.8804527398798868,0.4485774021537894,0.5747873446611531,0.7781588522321559
21,12,0.710206826198965,0.7457658946944645,0.28152189963409535,2.377397261800944,0.8023565331473143,0.46878625797852885,0.507750259342491,0.6390291769281685
